time,model_id,model_name,port_name,data
0,517,(14,11),,1
0,518,(7,4),,-1
0,519,(13,2),,-1
0,520,(14,19),,1
0,521,(11,13),,-1
0,522,(8,9),,1
0,523,(9,9),,-1
0,524,(4,2),,1
0,525,(10,9),,1
0,526,(1,18),,-1
0,527,(13,9),,-1
0,528,(15,9),,-1
0,529,(16,5),,1
0,530,(18,0),,1
0,531,(8,7),,1
0,532,(5,18),,-1
0,533,(17,9),,-1
0,534,(18,9),,1
0,535,(20,9),,-1
0,536,(23,9),,1
0,537,(13,12),,-1
0,538,(25,26),,-1
0,539,(24,16),,1
0,540,(27,15),,-1
0,541,(24,9),,-1
0,542,(25,11),,-1
0,543,(20,26),,1
0,544,(26,9),,1
0,545,(19,11),,1
0,546,(0,10),,1
0,547,(1,10),,-1
0,548,(2,10),,1
0,549,(10,27),,1
0,550,(1,14),,-1
0,551,(13,17),,-1
0,552,(3,10),,-1
0,553,(0,23),,1
0,554,(4,10),,1
0,555,(5,10),,-1
0,556,(6,10),,1
0,557,(15,14),,1
0,558,(8,21),,1
0,559,(8,10),,1
0,560,(9,10),,-1
0,561,(10,10),,1
0,562,(24,25),,1
0,563,(7,10),,-1
0,564,(11,10),,-1
0,565,(13,10),,-1
0,566,(15,10),,-1
0,567,(18,18),,1
0,568,(27,21),,-1
0,569,(16,10),,1
0,570,(17,10),,-1
0,571,(18,10),,-1
0,572,(14,23),,1
0,573,(14,7),,1
0,574,(3,16),,-1
0,575,(22,10),,-1
0,576,(23,10),,1
0,577,(2,15),,1
0,578,(24,10),,-1
0,579,(25,10),,-1
0,580,(26,10),,1
0,581,(9,20),,-1
0,582,(22,16),,1
0,583,(27,10),,-1
0,584,(0,11),,1
0,585,(1,11),,-1
0,586,(27,13),,-1
0,587,(2,11),,1
0,588,(3,11),,-1
0,589,(5,11),,-1
0,590,(9,12),,-1
0,591,(7,11),,-1
0,592,(10,24),,1
0,593,(8,11),,1
0,594,(10,25),,1
0,595,(9,11),,-1
0,596,(26,25),,1
0,597,(10,11),,1
0,598,(14,17),,1
0,599,(12,11),,1
0,600,(21,10),,1
0,601,(18,15),,1
0,602,(2,21),,1
0,603,(10,19),,1
0,604,(5,0),,-1
0,605,(13,11),,-1
0,606,(13,24),,-1
0,607,(15,11),,-1
0,608,(1,26),,-1
0,609,(21,11),,1
0,610,(14,10),,1
0,611,(18,11),,-1
0,612,(16,19),,1
0,613,(20,11),,-1
0,614,(19,23),,-1
0,615,(22,11),,-1
0,616,(23,11),,1
0,617,(24,11),,-1
0,618,(18,14),,1
0,619,(10,26),,1
0,620,(22,24),,1
0,621,(3,12),,-1
0,622,(5,5),,-1
0,623,(4,12),,1
0,624,(7,3),,-1
0,625,(21,9),,1
0,626,(5,12),,-1
0,627,(24,24),,1
0,628,(1,8),,-1
0,629,(9,7),,-1
0,630,(13,14),,1
0,631,(2,9),,1
0,632,(2,2),,1
0,633,(11,15),,1
0,634,(7,12),,-1
0,635,(12,12),,1
0,636,(15,12),,1
0,637,(12,21),,1
0,638,(16,12),,-1
0,639,(0,22),,1
